Qty,RefDes,Value,Package,Description,Ref. Mouser,Manufacturer,,
,Top - SMT,,,,,,,
1,IC1,ATMEGA328P-AU,TQFP32,ATMEGA168,556-ATMEGA328P-AU,,,
1,IC2,5.0V,SOT23,LM4040 Shunt Vref,595-LM4040C50IDBZR,Texas  Instruments,,
3,"IC3, IC4, IC5",MCP6002,SOIC8,MCP6002 dual op-amp R2R IO,579-MCP6002-I/SN,,,
1,IC6,74HC595D,SOIC16,74HC595 SIPO shift register,595-CD74HC595M,Texas  Instruments,,
1,L1,,603,"Ferrite bead, Z@100M > 200",710-742792642,WE,,
1,Q1,20MHz,HC49,"Quartz, 20 MHz",815-ABLS2-20-D4Y-T,Abracon,,
2,"Q2, Q3",MMBT3904,SOT23,NPN transistor MMBT3904,863-MMBT3904LT1G,,,
4,"R4, R39, R40. R41",100R,603,"Resistor, 1%",667-ERJ3EKF1000V,,,
6,"R43, R44, R45, R47, R48, R49",1.0k,603,"Resistor, 1%",667-ERJ3EKF1001V,,,
4,"R3, R6, R7, R8",10k,603,"Resistor, 1%",667-ERJ3EKF1002V,,,
26,"R9, R11, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38",100k,603,"Resistor, 1%",667-ERJ3EKF1003V,,,
2,"R10, R12",1M,603,"Resistor, 1%",667-ERJ3EKF1004V,,,
2,"C2, C7",18p,603,"Capacitor, ceramic",81-GRM185C1H180JA01J,,,
6,"C10, C12, C14, C15, C16, C17",10n,603,"Capacitor, ceramic",81-GCM188R71H103JA7D,,,
8,"C3, C4, C5, C6, C9, C11, C13, C18",100n,603,"Capacitor, ceramic",81-GRM188R61C104KA1D,,,
1,C8,470n,603,"Capacitor, ceramic",81-GCM188R71E474KA4D,,,
,,,,,,,,
,Bottom - TH,,,,,,,
1,J15,,,"2x3, 2.54mm pitch male header",649-67996-406HLF,FCI / Amphenol,,
5,"J16, J17, J19, J21, J21",,,AMP .100 6P,571-6404566,TE Connectivity,,
4,"(J17, J19, J21, J21)",,,Wire Housings CLOSED WITH TABS 6P white tin 24 AWG,571-3-643814-6,TE Connectivity,,
1,J25,,,AMP .100 4P,571-6404564,TE Connectivity,,
1,(J25),,,Wire Housings CLOSED WITH TABS 4P white tin 24 AWG ,571-3-643814-4,TE Connectivity,,
,,,,,,,,
,Top - TH,,,,,,,
1,C1,22uf,Radial 5x11,CAP BiPol 5x11 Flat,647-UVZ1V220MDD,Nichicon,,
3,"LED2, LED3, LED4",5mm Round Red,,LED-5R_Red,593-VAOL-5LAE2,Kingbright,,
1,SW1,"Switch, On-mom, Red LED",,,612-LP4OA1PBCTR,E-switch ,,
7,"R1, R2, R5, R25, R26, R42, R46",10kB,,"10k linear pot, 15mm shaft",https://www.thonk.co.uk/shop/alpha-9mm-pots/,Alpha,,
,,,,,,,,
,Panel,,,,,,,
14,"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14",,,,502-112AX,Switchcraft,,
3,"(LED2, LED3, LED4)",,,5mm LED Clips,604-CB55,Kingbright,,
7,"(R1, R2, R5, R25, R26, R42, R46)",,,Knobs,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
